NAMESPACE,POD,CONTAINER,WHOAMI,ID
airflow-grpo-tammy,ms-swift-prepull-gv9v9,pause,"",""
airflow-grpo-tammy,ms-swift-prepull-6bp7m,pause,"",""
agent,agent-redis-7b46988fb5-92knr,iservice-redis,"root","uid=0(root) gid=0(root) groups=0(root),1(bin),2(daemon),3(sys),4(adm),6(disk),10(wheel),11(floppy),20(dialout),26(tape),27(video)"
airflow-grpo-tammy,ms-swift-prepull-nxx5f,pause,"",""
airflow-grpo-tammy,ms-swift-prepull-l88xt,pause,"",""
airflow-grpo-tammy,ms-swift-prepull-f8tnq,pause,"",""
airflow-grpo-tammy,tammy-airflow-postgresql-0,postgresql,"",""
airflow-grpo-tammy,tammy-airflow-flower-6945fb8d78-9tk5z,flower,"airflow","uid=50000(airflow) gid=0(root) groups=0(root)"
airflow-grpo-tammy,ms-swift-prepull-jm5hz,pause,"",""
airflow-grpo-tammy,tammy-airflow-scheduler-bb67c9b69-mbvpm,scheduler,"",""
airflow-grpo-tammy,tammy-airflow-redis-0,redis,"root","uid=0(root) gid=0(root) groups=0(root)"
airflow-grpo-tammy,tammy-airflow-scheduler-bb67c9b69-mbvpm,git-sync,"git-sync","uid=65533(git-sync) gid=65533(git-sync) groups=65533(git-sync),0(root)"
airflow-grpo-tammy,ms-swift-prepull-w9h99,pause,"",""
airflow-grpo-tammy,tammy-airflow-scheduler-bb67c9b69-mbvpm,scheduler-log-groomer,"airflow","uid=50000(airflow) gid=0(root) groups=0(root)"
airflow-grpo-tammy,tammy-airflow-webserver-6875cd4649-4qfxf,webserver,"airflow","uid=50000(airflow) gid=0(root) groups=0(root)"
airflow-grpo-tammy,tammy-airflow-worker-0,worker,"airflow","uid=50000(airflow) gid=0(root) groups=0(root)"
airflow-grpo-tammy,tammy-airflow-triggerer-0,triggerer,"airflow","uid=50000(airflow) gid=0(root) groups=0(root)"
airflow-grpo-tammy,tammy-airflow-worker-0,worker-log-groomer,"airflow","uid=50000(airflow) gid=0(root) groups=0(root)"
airflow-tst,airflow-tst-dag-processor-8596c7dc48-kkm9j,dag-processor,"airflow","uid=50000(airflow) gid=0(root) groups=0(root)"
airflow-grpo-tammy,tammy-airflow-triggerer-0,triggerer-log-groomer,"airflow","uid=50000(airflow) gid=0(root) groups=0(root)"
airflow-tst,airflow-tst-dag-processor-8596c7dc48-kkm9j,git-sync,"git-sync","uid=65533(git-sync) gid=65533(git-sync) groups=65533(git-sync),0(root)"
airflow-grpo-tammy,tammy-airflow-statsd-7678998c7d-4jcxc,statsd,"nobody","uid=65534(nobody) gid=65534(nobody) groups=65534(nobody)"
airflow-tst,airflow-tst-dag-processor-8596c7dc48-kkm9j,dag-processor-log-groomer,"airflow","uid=50000(airflow) gid=0(root) groups=0(root)"
airflow-tst,airflow-tst-pgbouncer-bf58d64bf-x5z6b,metrics-exporter,"nobody","uid=65534(nobody) gid=65534(nobody) groups=65534(nobody)"
