NAMESPACE,POD,CONTAINER,WHOAMI,ID
agent,agent-redis-7b46988fb5-92knr,iservice-redis,"root","uid=0(root) gid=0(root) groups=0(root),1(bin),2(daemon),3(sys),4(adm),6(disk),10(wheel),11(floppy),20(dialout),26(tape),27(video)"
airflow-grpo-tammy,tammy-airflow-redis-0,redis,"root","uid=0(root) gid=0(root) groups=0(root)"
cchou0519,openai-api-forward-68879746b6-ldcmb,openai-api-proxy,"root","uid=0(root) gid=0(root) groups=0(root)"
cchou0519,openai-api-forward-68879746b6-pncmh,openai-api-proxy,"root","uid=0(root) gid=0(root) groups=0(root)"
cchou0519,openai-api-forward-68879746b6-z8swb,openai-api-proxy,"root","uid=0(root) gid=0(root) groups=0(root)"
cilium-test-1,echo-other-node-d9bf5c4c7-n94ph,echo-other-node,"root","uid=0(root) gid=0(root) groups=0(root)"
cilium-test-1,client3-7f986c467b-7mmkx,client3,"root","uid=0(root) gid=0(root) groups=0(root),1(bin),2(daemon),3(sys),4(adm),6(disk),10(wheel),11(floppy),20(dialout),26(tape),27(video)"
cilium-test-1,client2-6b89df6c77-2lwhj,client2,"root","uid=0(root) gid=0(root) groups=0(root),1(bin),2(daemon),3(sys),4(adm),6(disk),10(wheel),11(floppy),20(dialout),26(tape),27(video)"
cilium-test-1,client-59476dbc54-cz69q,client,"root","uid=0(root) gid=0(root) groups=0(root),1(bin),2(daemon),3(sys),4(adm),6(disk),10(wheel),11(floppy),20(dialout),26(tape),27(video)"
cilium-test-1,host-netns-8qj8m,host-netns,"root","uid=0(root) gid=0(root) groups=0(root),1(bin),2(daemon),3(sys),4(adm),6(disk),10(wheel),11(floppy),20(dialout),26(tape),27(video)"
cilium-test-1,host-netns-6v879,host-netns,"root","uid=0(root) gid=0(root) groups=0(root),1(bin),2(daemon),3(sys),4(adm),6(disk),10(wheel),11(floppy),20(dialout),26(tape),27(video)"
cilium-test-1,echo-same-node-79556b7775-7j5ph,echo-same-node,"root","uid=0(root) gid=0(root) groups=0(root)"
cilium-test-1,host-netns-gb26v,host-netns,"root","uid=0(root) gid=0(root) groups=0(root),1(bin),2(daemon),3(sys),4(adm),6(disk),10(wheel),11(floppy),20(dialout),26(tape),27(video)"
cilium-test-1,host-netns-nl684,host-netns,"root","uid=0(root) gid=0(root) groups=0(root),1(bin),2(daemon),3(sys),4(adm),6(disk),10(wheel),11(floppy),20(dialout),26(tape),27(video)"
cilium-test-1,host-netns-t6qth,host-netns,"root","uid=0(root) gid=0(root) groups=0(root),1(bin),2(daemon),3(sys),4(adm),6(disk),10(wheel),11(floppy),20(dialout),26(tape),27(video)"
cilium-test-1,host-netns-sfljr,host-netns,"root","uid=0(root) gid=0(root) groups=0(root),1(bin),2(daemon),3(sys),4(adm),6(disk),10(wheel),11(floppy),20(dialout),26(tape),27(video)"
clickhouse-operator,chi-ch-prod-main-0-1-0,clickhouse,"root","uid=0(root) gid=0(root) groups=0(root)"
clickhouse-operator,chi-ch-prod-main-1-0-0,clickhouse,"root","uid=0(root) gid=0(root) groups=0(root)"
cilium-test-1,host-netns-w6cfv,host-netns,"root","uid=0(root) gid=0(root) groups=0(root),1(bin),2(daemon),3(sys),4(adm),6(disk),10(wheel),11(floppy),20(dialout),26(tape),27(video)"
